ID,Etymon ID,Headword (Source Spelling),Headword (Practical Orthography),Headword (IPA),Part of Speech,Meaning (Spanish),Meaning (English),Sources,Full Original Entry,Alternate forms/spellings,Other,Editors
KCHOTLN1,ETYMON2628,Cabrakan,Kab'raqan,,Noun,Temblor,Earthquake ,El Vocabulario K'iche' Otlateca. Pp 37r,Cabrakan. el temblor de tierra. pa cab|rakan yn 4ovi rumal ri xinbano. | temblando estoy p{o}r lo que hize. quin|birbotic. estoy tiritando. quinbir|bot rumal teuɧ. estoi tiritando de | frio. cababir. dos años antes.,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLN2,ETYMON1255,Cab,Kab',,Noun ,Miel ,Honey,El Vocabulario K'iche' Otlateca. Pp 37r,"Cab. miel. vchicopil cab. la aveja. d[e] este | nombre sale vn beruo neutro. ale|grarse, olgarse. y al cab. se le añade | cot. v{erbi}g{raci}a. cabcot. cacabcot. se ale|gra. y lo mismo de qui. lo dulçe. se | le añade cot, y forma quicot. caqui|cot. compulssiuo cabcotiriçaɧ. canu. | hazer que se alegre. nim vcabcotem. | nim vquicotem. grande alegria. | forma otro cabcotinel. alegre re|gosijado. quicotinel. cabcotinel. | el que alegra, y regosija. otro neutro | cacabcotilanic. cacabcotilabic. | caquicot 34 nu4ux. mayɧ qui|[37v]cotem nuchahin vԑuçil nu4ux.",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLV1,ETYMON2998,Cabih,Kab'ij,,Adverb,Pasado mañana,The day after tomorrow,El Vocabulario K'iche' Otlateca. Pp 37r,Cabiɧ. pasando35 mañana. cabahir. p{o}r | ante ayer. hucabiɧ xuban pa xi|mobal ha. estuuo en la carzel hasta | el terçer dia. hucabiɧ. hunvca|biɧ.,kaab'iij,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLE1,,Cabichal,Kab'ichal ,,Enumerative,Pluralidad ,Plurality,El Vocabulario K'iche' Otlateca. Pp 37r,"Cabichal. significa pluralidad. v|cabichal. los dos juntos. p{ar}a cosas | ynanimadas el vcabichal. p{ar}a co|sas animadas. como hombres, ô â|nimales. quicabichal vinak. qui|cabichal quieɧ. ambas a dos perso|nas, o bestias. kacabichal. no|sotros juntos. ycabichal. vosotros | juntos. quicabichal vinak. cabuɧ. | canucabuɧ vchi. purificar. 
",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLN3,ETYMON3019,Cablahuh,Kab'lajuj,,"Noun, number",Doce,Twelve,El Vocabulario K'iche' Otlateca. Pp 37r,Cablahuɧ. doze. cablavaheɧ. | de aqui a dose dias. cablaua|heher. dose dias â. cablaɧ chi hu|nab. dosçientos y quarenta años. ,kab'lajuuj ,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLP1,,Ca ,Ka,,"Prefix, aspect",,,El Vocabulario K'iche' Otlateca. Pp 38r,"Ca. particula verbal de neutro.|y la piedra de moler, o la muela diente. [38r] ",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLN4,ETYMON857,Cah ,Kaj,,Noun ,Cielo,Sky,El Vocabulario K'iche' Otlateca. Pp 38r,"Caɧ. el çielo. xe caɧ, el mundo. 4aɧ. | la harina. ",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLN5,ETYMON2676,Cakçutcum,Kaqsutkum,,Noun ,Remolino,Whirlwind,El Vocabulario K'iche' Otlateca. Pp 38r,Ca4a4houɧ ronohel nubakel. me | duelen todos los guesos. ,Sutk'um,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLN6,ETYMON2472,Ca4h,Kach',,Noun ,"Chapapo, chicle, goma de mascar ",Chewing gum,El Vocabulario K'iche' Otlateca. Pp 38r,Ca4h. lo que mascan las mug{ere}s. chapapo. | vca4h quieɧ. el freno. canuca4huɧ. | lo masco. ,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Iyaxel Cojti Ren"",""dates"":[""2024-01-22""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-02"",""2024-02-18""]}]}"
KCHOTLN7,ETYMON1880,Caa,Ka',,Noun ,"Piedra de moler, metate ","Metate, grinding stone",El Vocabulario K'iche' Otlateca. Pp 38r,Caa. la piedra de moler. {ve}l. ca. pro|nombre de plural. cachahil. ,kaa',,
