Field Connected from Buck (abbrv),Field,Number,Abbreviation,Category,Source
,,1,,KINSHIP & SOCIAL ORGANIZATION,Kaufman
WV,WORK,1.11,KSO_WRK,KINSHIP & SOCIAL ORGANIZATION,Kaufman
EN,ENEMY,1.12,KSO_ENY,KINSHIP & SOCIAL ORGANIZATION,Kaufman
BR,BRIDGE,1.13,KSO_BRG,KINSHIP & SOCIAL ORGANIZATION,Kaufman
RA,ROAD,1.14,KSO_ROD,KINSHIP & SOCIAL ORGANIZATION,Kaufman
RC,RICH,1.15,KSO_RCH,KINSHIP & SOCIAL ORGANIZATION,Kaufman
WA,"WALK, GO",1.16,KSO_WLK,KINSHIP & SOCIAL ORGANIZATION,Kaufman
CI,TOWN,1.17,KSO_TWN,KINSHIP & SOCIAL ORGANIZATION,Kaufman
EJ,JEALOUSY,1.18,KSO_JLS,KINSHIP & SOCIAL ORGANIZATION,Kaufman
CH,CHILD,1.19,KSO_CHD,KINSHIP & SOCIAL ORGANIZATION,Kaufman
MO,MOTHER,1.2,KSO_MTH,KINSHIP & SOCIAL ORGANIZATION,Kaufman
FS,FEMALE CONNECTED KIN,1.21,KSO_FCK,KINSHIP & SOCIAL ORGANIZATION,Kaufman
BS,SIBLINGS,1.22,KSO_SBL,KINSHIP & SOCIAL ORGANIZATION,Kaufman
FA,FATHER,1.23,KSO_FTH,KINSHIP & SOCIAL ORGANIZATION,Kaufman
IL,IN-LAWS,1.24,KSO_INL,KINSHIP & SOCIAL ORGANIZATION,Kaufman
,,1.25,,THOUGHT & FEELING/PERCEPTION & EVALUATION,Kaufman
IM,CRAZY,1.26,TF/PE_CRZ,THOUGHT & FEELING/PERCEPTION & EVALUATION,Kaufman
CG,GATHER,1.27,TF/PE_GTH,THOUGHT & FEELING/PERCEPTION & EVALUATION,Kaufman
HC,HIDE,1.28,TF/PE_HID,THOUGHT & FEELING/PERCEPTION & EVALUATION,Kaufman
,BLIND,1.29,TF/PE_BLD,THOUGHT & FEELING/PERCEPTION & EVALUATION,Kaufman
MS,MEASURE,1.3,TF/PE_MSR,THOUGHT & FEELING/PERCEPTION & EVALUATION,Kaufman
SH,SHAME,1.31,TF/PE_SHM,THOUGHT & FEELING/PERCEPTION & EVALUATION,Kaufman
GD,GOOD,1.32,TF/PE_GUD,THOUGHT & FEELING/PERCEPTION & EVALUATION,Kaufman
SE,SEE,1.33,TF/PE_SEE,THOUGHT & FEELING/PERCEPTION & EVALUATION,Kaufman
HE,HEAR,1.34,TF/PE_HAR,THOUGHT & FEELING/PERCEPTION & EVALUATION,Kaufman
TO,"THINK, KNOW",1.35,TF/PE_TKN,THOUGHT & FEELING/PERCEPTION & EVALUATION,Kaufman
FF,FEAR,1.36,TF/PE_FER,THOUGHT & FEELING/PERCEPTION & EVALUATION,Kaufman
,,1.37,,COLOR,Kaufman
GR,GREEN,1.38,CLR_GRN,COLOR,Kaufman
BK,BLACK,1.39,CLR_BLK,COLOR,Kaufman
YL,YELLOW,1.4,CLR_YLW,COLOR,Kaufman
RD,RED,1.41,CLR_RED,COLOR,Kaufman
,,1.42,,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
SD,SIDE,1.43,BP/OP; BP_SID,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
,HICCUP,1.44,BP/OP; BP_HCP,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
BR,BRAIN,1.45,BP/OP; BP_BRN,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
,SPEW,1.46,BP/OP; BP_SPW,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
,SPITTLE,1.47,BP/OP; BP_SPL,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
TO,TOOTH,1.48,BP/OP; BP_TTH,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
MO,MOUTH,1.49,BP/OP; BP_MTH,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
,ARSE,1.5,BP/OP; BP_ARS,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
EA,EAR,1.51,BP/OP; BP_EAR,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
WI,WING,1.52,BP/OP; BP_WNG,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
HE,HEAD,1.53,BP/OP; BP_HED,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
HA,HAIR,1.54,BP/OP; BP_HAR,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
,SHIT,1.55,BP/OP; BP_SHT,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
,LUNGS,1.56,BP/OP; BP_LNG,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
LV,LIVER,1.57,BP/OP; BP_LVR,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
,SNOT,1.58,BP/OP; BP_SNT,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
NK,NECK,1.59,BP/OP; BP_NCK,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
TA,TAIL,1.6,BP/OP; BP_TIL,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
NO,NOSE,1.61,BP/OP; BP_NOS,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
NV,NAVEL,1.62,BP/OP; BP_NLV,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
FB,FART,1.63,BP/OP; BP_FRT,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
BL,BLOOD,1.64,BP/OP; BP_BLD,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
JW,JAW,1.65,BP/OP; BP_JAW,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
FA,FACE,1.66,BP/OP; BP_FCE,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
SN,SNEEZE,1.67,BP/OP; BP_SNZ,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
AR,ARM,1.68,BP/OP; BP_ARM,BODY PARTS and OTHER PARTS; BODY PROCESSES,Kaufman
