ID,meaning,semantic tag,Etymon ID,Etymon,root,root in script,Part of Speech,language,prefix Conj 1,prefix Conj 1 IPA,Prefix conj 2,Prefix conj 2 IPA,Suffix conj,Suffix conj IPA,infinitive,infinitive IPA,participle,participle IPA,PC thematic vowel,SC thematic vowel,stem,complement (separate complements with semi colon if they have a different meaning),tag,Donor language (in case of borrowing),Donor word (in donor language),Data source,notes
V1,to go,MO_GO,ETYMONV1,,alk,,verb,Akkadian,illik,illik,illak,illak,alik,alik,alākum,ala:kum,ālik,a:lik,i,                                           ,G,,,,,,
V2,to go,MO_GO,ETYMONV2,,ʔzl,ܐ ܙ ܠ,verb,Syriac,nêzal,ne:zal,NA,NA,ezal,ezal,mêzal,me:zal,āzel,a:zel,a,,G,,,,,,
V3,to go,MO_GO,,,ħwr,ሐ ወ ረ,verb,Ethiopic,"yəḥor, yəḥur","jɨħor, jɨħur",yaḥawwər,jaħawwɨr,ḥora,ħora,ḥawir,ħawir,,,u,,G,,,,,,
V4,to go,MO_GO,ETYMONV1,,hlk,הלך,verb,Hebrew,yēlēk,ye:le:k,NA,NA,hālak,hɔlak,leket,lɛkɛt,hōlēk,ho:le:k,i,a,G,,,,,,
V5,to go,MO_GO,ETYMONV3,,ðhb,ذ ه ب,verb,Arabic,yaḏhab,jaðhab,NA,NA,ḏahaba,ðahaba,ḏahāb,ðaha:b,ḏāhib,ða:hib,a,a,G,,,,,,
ETYMONV1,to go,MO_GO,,hlk,,,verb,Proto-Semitic,,,,,,,,,,,,,,,,,,,
ETYMONV2,to go,MO_GO,,ʔzl,,,verb,Proto-Semitic,,,,,,,,,,,,,,,,,,,
ETYMONV3,to go,MO_GO,,ðhb,,,verb,Proto-Semitic,,,,,,,,,,,,,,,,,,,
V6,to come,MO_CO,ETYMONV1,,alk,,verb,Akkadian,illik,illik,illak,illak,alik,alik,alākum,ala:kum,ālik,a:lik,i,a,G,ventive,,,,,
V7,to come,MO_CO,ETYMONV4,,ʔtj,ܐ ܬ ܘ,verb,Syriac,nêtē,ne:te:,NA,NA,etā,eta:,mētā,me:ta:,ātē,a:te:,,,G,,,,,,
V8,to come,MO_CO,ETYMONV5,,ms'ʔ,መ ጸ አ,verb,Ethiopic,yəmṣāˀ,jɨms'a:ʔ,yəmaṣṣəˀ,jɨmas's'ɨʔ,maṣˀa,mas'ʔa,maṣiˀ,mas'iʔ,,,,,G,,,,,,
V9,to come,MO_CO,ETYMONV6,,,בוא,verb,Hebrew,yābôˀ ,yɔbo:ʔ,NA,NA,bāˀ,bɔʔ,bôˀ,bo:ʔ,bāˀ,bɔʔ,u,a,G,,,,,,
V10,to come,MO_CO,ETYMONV4,,ʔtj,ء ت و,verb,Arabic,yaˀtī,jaʔti:,NA,NA,ˀatā,ʔata:,"ˀityān, ˀaty, maˀtāh","ʔitja:n, ʔatj, maʔta:h",ˀātin,ʔa:tin,,,G,,,,,,
