id,semantic tag,etymon id,language,part of speech,word (source spelling),word (practical orthography),word (ipa),english definition,spanish definition,source,page number,full original entry,alternate forms,other,editors
CHTMISC1,PW_SA,,Ch'olti',noun,zuz,sus,,sand,arena,CCM,81,arena; zuz; gi,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2025-03-04""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}"
KAUN1702,PW_SA,KAUETYMON736,Ch'olti',noun,gi,ji,,sand,arena,CCM,81,arena; zuz; gi,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2025-03-04""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}"
CHTMISC2,EM_SS,,Ch'olti',noun,music,musik,,soul,anima; alma,CCM,81,alma; anima; music,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2025-03-04""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}"
KAUN3430,AN_IN,KAUETYMON1294,Ch'olti',noun,am,am,,spider,araña,CCM,81,araña; am,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2025-03-04""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}"
KAUMISC8269,TI_YD,KAUETYMON785,Ch'olti',adverb,a£bihi,akb'ihi,,yesterday,ayer,CCM,81,ayer; a£bihi; acbihi,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2025-03-04""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}"
KAUMISC8269,TI_YD,KAUETYMON785,Ch'olti',adverb,acbihi,akb'ihi,,yesterday,ayer,CCM,81,ayer; a£bihi; acbihi,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2025-03-04""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}"
KAUV2028,SP_PS,KAUETYMON2560,Ch'olti',transitive verb,vaines,waynes,,numb,adormecer,CCM,81,adormeser; vaines l. ;vanes,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2025-03-04""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}"
KAUV2028,SP_PS,KAUETYMON2560,Ch'olti',transitive verb,vanes,wanes,,numb,adormecer,CCM,81,adormeser; vaines l. ;vanes,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2025-03-04""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}"
CHTMISC3,PA_TO,,Ch'olti',noun,vcalh,ukalh,,fan,abanico,CCM,81,abanico; vcalh; pictalca Vut,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2025-03-04""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}"
CHTMISC4,PA_TO,,Ch'olti',noun,pictalca,piktalka wut,,fan,abanico,CCM,81,abanico; vcalh; pictalca Vut,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2025-03-04""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}"
