Kaufman Categories,Kaufman Abbreviations,Kaufman Number,Proposed Categories,Sub Categories,Buck's Categories,Buck Abbreviations,,Bucks Categories
KINSHIP & SOCIAL ORGANIZATION,KSO,1,KINSHIP & SOCIAL ORGANIZATION,"BRIDGE, CHILD, ENEMY, FATHER, FEMALE CONNECTED KIN, IN-LAWS, JEALOUSY, MOTHER, RICH, ROAD, SIBLINGS, TOWN, 'WALK, GO', WORK",Social Relations,SO,,Religion & Beliefs
THOUGHT & FEELING/PERCEPTION & EVALUATION,TF/PE,2,THOUGHT & FEELING/PERCEPTION & EVALUATION,"BLIND, CRAZY, FEAR, GATHER, GOOD, HEAR, HIDE, MEASURE, SEE, SHAME, THINK, KNOW",Mind & Thought,MT,,Law & Judgment
COLOR,CLR,3,COLOR,"Black, Green, Yellow, Red",Sense Perception,SP,,Warfare & Hunting
BODY PARTS and OTHER PARTS; BODY PROCESSES,BP/OP; BP,4,BODY PARTS and OTHER PARTS; BODY PROCESSES,"ARM, ARMPIT, ARSE, BACK, BARK, BLOOD, BRAIN, CORNER, EAR, FACE, FART, FOOT, GENITALS, HAIR, HEAD, HICCUP, HORN, JAW, KNEE, LIVER, LUNGS, MOUTH, NAIL, NAVEL, NECK, NOSE, PISS, RING, SHIT, SIDE, SINEW, SKIN, SNEEZE, SNOT, SPEW, SPITTLE, TAIL, THIGH, TIT, TOOTH, WING",Body Parts & Functions,BP,,Social Relations
ANIMAL PARTS,AP,5,ANIMAL PARTS,,Animals,AN,,Language & Music
LOCATION,LOC,6,LOCATION,"Under, Between, Middle",Spatial Relations,SR,,Mind & Thought
EARTH,ERTH,7,EARTH,"DUST, EARTH, LAKE, LANDSLIDE, METAL, MUD, PLAIN, SAND",Physical World,PW,,Emotion
SKY,SKY,8,SKY,"DRY, EARLY, HAIL, LIGHTNING, MIRROR, MOON, NIGHT, OVER, RAIN, RAINBOW, SHADOW, CLOUD, SKY, STAR, SUN, THUNDER, TODAY, TOMORROW, WIND, YEAR",Physical World,PW,,Sense Perception
FIRE,FIR,9,FIRE,"ASHES, BURN, CHARCOAL, FIRE, FIREWOOD, QUENCH, SMOKE",Physical World,PW,,Time
WATER & LIQUIDS,W/L,10,WATER & LIQUIDS,"Drip, Wash",Physical World,PW,,Quantity & Number
MAMMALS,MML,11,MAMMALS,"AGOUTI, ANIMAL, ARMADILLO, BAT, COATI, COUGAR, COYOTE, DEER, DOG, FOX, GOPHER, GREEN DEER, HOUSECAT POST-CONTACT, JAGUAR, KINKAJOU POTOS FLAVUS, MONKEY, MOUNTAIN COW, MOUSE, RAT, PECCARY, POSSUM, RABBIT, SKUNK, SQUIRREL, WEASEL (MUSTELA SPP.)",Animals,AN,,Spatial Relations
BIRDS,BRD,12,BIRDS,"BIRD, BUZZARD, CROW/HERON, DOVE, DUCK, EGG, GIZZARD, GRACKLE, HAWK, HUMMINGBIRD, NEST, OWL, PARROTS, QUAIL, QUETZAL, TOUCAN, TURKEY, WOODPECKER",Animals,AN,,Possession & Trade
REPTILES,REP,13,REPTILES,,Animals,AN,,Motion & Transportation
TURTLES,TRTL,14,REPTILES,,Animals,AN,,Physical Acts & Materials
SNAKES,SNK,15,REPTILES,"Boa, Rattlesnake",Animals,AN,,Agriculture & Vegetation
LIZARDS,LZD,16,REPTILES,Iguana,Animals,AN,,Dwellings & Furniture
BATRACHIANS,BTR,17,REPTILES,,Animals,AN,,Clothing & Adornment
FISH,FSH,18,FISH & MOLLUSKS,,Animals,AN,,Food & Drink
MOLLUSKS,MLSK,19,FISH & MOLLUSKS,"Crawfish, Snail",Animals,AN,,Body Parts & Functions
BUGS,BUG,20,BUGS,"WEEVIL, DRAGONFLY, ANT, BEDBUG, BUTTERFLY, CENTIPEDE, COCKROACH, CRICKET, GRASSHOPPER, CUTWORM, FLEA, FLY, GREEN DEERFLY, LIGHTNING BUG, LOCUST, LOUSE, SCORPION, SKEETER, SPIDER, TICK, WASP, WORM",Animals,AN,,Animals
SPEECH & INTERACTION,SI,21,SPEECH & INTERACTION,"ANSWER, BARK, CALL, YELL, SHOUT, DUMB, HELP, LIE, DECEIVE, MISDEED, MOAN, NAME, SPEAK, WAIT",Language & Music,LM,,Mankind
"PLAY, DANCE, MUSIC",PDM,22,"PLAY, DANCE, MUSIC","DANCE, DRUM, FLUTE, LAUGH, PLAY, RATTLE, SING",Language & Music,LM,,Physical World
TRADE & PROPERTY,TP,23,TRADE & PROPERTY,"CHANGE, DEBT, GIFT, PAY, PET, PUT, GIVE, STINGY, TAKE, THEFT, TRADE",Possession & Trade,PT,,
MANIPULATION,MAN,24,MANIPULATION,"BALD, BREAK, CARRY, LOAD, CLENCH, COVER, CUT, DIG, GRAB, HIT, HOOK, IS THIS JUST ONE SET?, LOOSEN, MAKE, MOULD, PAINT, PEEL, PULL, PUSH, REMAIN, ROLL, WRAP, SCATTER, SCRAPE, SCRATCH, SEATED, SPREAD, STAB, POKE, STRAIGHTEN, STRAIN, STRETCH, THROW, SHOOT, TWIST, WIPE",Mind & Thought,MT,,
TOOLS,TLS,25,TOOLS,"AXE, BLOWGUN, FAN, GRIDDLE [INTRODUCED TO MAYAN AREA AFTER 1000 CE], LADDER, QUERN, SPEAR, STAFF, TRAP, TUMPLINE, WHETSTONE",Warfare & Hunting,WH,,
BUILDINGS,BLD,26,"BUILDINGS, FURNITURE, CONTAINERS",HOUSE,Dwellings & Furniture,DF,,
FURNITURE,FURN,27,"BUILDINGS, FURNITURE, CONTAINERS","BED, BRAID, HAMMOCK [INTRODUCED AFTER XXXX BCE], MAT, ROPE, SWEEP, BOARD",Dwellings & Furniture,DF,,
CONTAINERS,CNT,28,"BUILDINGS, FURNITURE, CONTAINERS","BASKET, CANOE, FULL, GOURD, NET, PLATE, POT",Dwellings & Furniture,DF,,
CLOTHING & ADORNMENT,CA,29,CLOTHING & ADORNMENT ,"NAKED, BLOUSE, CLOTHING, COTTON, COMB, MASK, MEND, SASH, SEW, SKIRT, SPINDLEWHORL, THREAD, TIE, TROUSERS, WEAVE",Clothing & Adornment,CA,,
AGRICULTURE,AGR,30,AGRICULTURE ,,Agriculture & Vegetation,AV,,
PLANT PARTS,PP,31,AGRICULTURE PT.2,"THORN, FLOWER, LEAF, PITCH, SEED, SPROUT",Agriculture & Vegetation,AV,,
MAIZE,MZE,32,AGRICULTURE PT.2,Cane,Agriculture & Vegetation,AV,,
BEANS,BNS,33,AGRICULTURE PT.2,,Agriculture & Vegetation,AV,,
TREES,TRS,34,AGRICULTURE PT.2,"ANNATTO, AVOCADO, CACAO, CASSAVA, CEDAR (CEDRELA SPP), FICUS, GUAVA, GUMBOLIMBO, OAK, PINE, SILK-COTTON TREE, SOURSOP, SYCAMORE, WILLOW",Agriculture & Vegetation,AV,,
PALMS,PLM,35,AGRICULTURE PT.2,,Agriculture & Vegetation,AV,,
VINES,VNS,36,AGRICULTURE PT.2,"BLACKBERRY, GRAPE, NETTLE, SQUASH, SWEET POTATO, TOMATO, VINE",Agriculture & Vegetation,AV,,
HERBS,HRB,37,AGRICULTURE PT.2,"CHILLI, CLOVER, FERN, GOOSEFOOT (CHENOPODIUM AMBROSIOIDES), MARIGOLD (TAGETES SPP.), NIGHTSHADE (SOLANUM SPP.), ONION [POST-CONTACT NEOLOGISM], PIGWEED (AMARANTHUS SPP.), POT-HERBS, PURSLANE, SALTWORT (PORTULACA OLERACEA), RATTLEPOD (CROTALARIA SPP.), TOBACCO",Agriculture & Vegetation,AV,,
GRASSES,GRS,38,AGRICULTURE PT.2,REED,Agriculture & Vegetation,AV,,
"""PINEAPPLES""",PNP,39,AGRICULTURE PT.2,"Prickly Pear, Bromelia, Century Plant, Pineapple, Yucca Spanish Bayonet",Agriculture & Vegetation,AV,,
FUNGUS,FNG,40,AGRICULTURE PT.2,Moss,Agriculture & Vegetation,AV,,
EATING,EAT,41,EATING & TASTING,"CHEW, COOK, DRINK, EAT, HUNGER, RAW, ROAST, TAMALE, TOAST, SWALLOW",Food & Drink,FD,,
TASTE,TST,42,EATING & TASTING,"TASTELESS, BAD-SMELLING, BITTER, SALTY, SMELL, SOUR",Food & Drink,FD,,
LIFE & EXISTENCE,LE,43,LIFE & EXISTENCE - MOVEMENT,"AWAKE, BEGIN, BUBBLE, CLOSE.EYES, END, FAT, GROW, REST, SLEEP, SNORE, SWEAT, TIRED",Physical Acts & Materials,PA,,
MOVEMENT,MVMT,44,LIFE & EXISTENCE - MOVEMENT,"ARRIVE.HERE, ARRIVE.THERE, COME, CRAWL, FLY, JUMP, GO.BACK, GO.BY, GO.DOWN, GO.IN, GO.OUT, MOVE, NO LLEGAR, RUN, SWIM, TURN",Motion & Transportation,MO,,
SICKNESS,SCK,45,SICKNESS & MAGIC,"CHOKE, COUGH, DIE, ITCH, MANGE, PAIN, ROT, SORE, SWELL",Mind & Thought,MT,,
