id,semantic tag,etymon id,language,part of speech,word (source spelling),word (practical orthography),word (ipa),english definition,spanish definition,source,page number,full original entry,alternate forms,other,editors
KAQCOTON1,BP_NO,KAUETYMON526,Colonial Kaqchikel,noun,tzam,tza'm,,"nose, beak, tip","nariz, pico de ave, punta de palo",COT,365,"NARIZ de persona o animal, pico de ave, punta de palo (lo más delgado dél), punta o cabo de cuerda, hilo, etc., punta de lanza, espada, cuchillo, o de otra qualquier cosa, o los estremos della, el cabo o estremo del pueb[l]o o de alg[un]a sierra: Tzam; nu tzam, a tzam, etc.; ru tzam che, ru tzam tinamit, etc. || Narigudo, de larga nariz; roqoric ru tzam, o rabaric ru tzam, o tzucutzic ru tzam. || De nariz aguileña: huq,uhic ru tzam, o 3uh3ic ru tzam. || De nariz corbada en medio y q[ue] haçe buelta abajo la punta: luculic ru tzam, o muqumic ru tzam. Y lo mesmo diçen del pico del ave, como la guacamaya, el papagayo, el águila y otros. || Nariz roma o chata: pim ru tzam, tebetic ru tzam; q,ahq,ic ru tzam, la [nariz] chata.",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Mallory Matsumoto"",""dates"":[""2024-01-19""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-09"",""2024-02-18""]}]}"
KAQCOTOV1,BP_BD,KAUETYMON234,Colonial Kaqchikel,transitive verb,muk,müq,,bury,enterrar,COT,198,"ENTERRAR: Tin muk; vg., ti be ka muku caminak, ""vamos a enterrar al diffmto”. || Mukic: enterramiento, la acción de enterrar. || Mukbal: el entierro. || Mukum, o mukinak: enterrado. || Mukul: enterrador. También, por enterrado, vsan mukul; mukumuh, plur[al]. || Mukbal, o mukuh caminak: entierro. || Con el recíproco sig[nifi]ca enterrarse; vg., x-u muk rij P[edr]o,o esconderse, o meterse entre matas. || También le toman por echar tierra o piedras, o otra cosa, en hoyo, cegándolo; vg., ti muk he huí pa bey, ti balix vleuh ch’u pam, “cerrad o segad los hoyos del camino, llenaldos de tierra”.",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Mallory Matsumoto"",""dates"":[""2024-01-19""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-09"",""2024-02-18""]}]}"
KAQCOTON2,PA_CO,,Colonial Kaqchikel,noun,icah,ikaj,,copper,cobre,COT,96,COBRE: Icah,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Mallory Matsumoto"",""dates"":[""2024-01-19""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-09"",""2024-02-18""]}]}"
KAQCOTON3,PW_LK,KAUETYMON2767,Colonial Kaqchikel,noun,pom,pom,,"copal, incense",copal,COT,113,"COPAL: Pom. || Yalah pom: el blandito. || Chakih pom: el duro y seco. || Al inçensio llaman: castilan pom. || Ti qat, ti po[r]ox pom ch’u vach sancto; ti çektaçix ru vach sancto chi pom.",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Mallory Matsumoto"",""dates"":[""2024-01-19""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-09"",""2024-02-18""]}]}"
KAQCOTON4,AN_MK,KAUETYMON989,Colonial Kaqchikel,noun,qoy,k'oy,,spider monkey,mico,COT,347,"MICO o mono: Qoy. Mira [la palabra] Mono, [folio 294r].",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Mallory Matsumoto"",""dates"":[""2024-01-19""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-09"",""2024-02-18""]}]}"
KAQCOTON5,MK_GI,KAUETYMON92,Colonial Kaqchikel,noun,3opoh,q'opoj,,girl (age 10 and above),"moza, de edad de diez para arriba",COT,352,"MOÇA de hedad de diez [para] arriba: 3opoh. || Rihi 3opoh: llegar a hedad de donçella ya cresçida. Mira la palabra Donçella a [folio] 136[v]. || 3opohil: moçedad así; nu 3opohil, a 3opohil, etc.",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Mallory Matsumoto"",""dates"":[""2024-01-19""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-09"",""2024-02-18""]}]}"
KAQCOTON6,MK_GI,KAUETYMON92,Colonial Kaqchikel,noun,3opohil,q'opojil,,girlhood,mocedad,COT,352,"MOÇA de hedad de diez [para] arriba: 3opoh. || Rihi 3opoh: llegar a hedad de donçella ya cresçida. Mira la palabra Donçella a [folio] 136[v]. || 3opohil: moçedad así; nu 3opohil, a 3opohil, etc.",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Mallory Matsumoto"",""dates"":[""2024-01-19""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-09"",""2024-02-18""]}]}"
KAQCOTON7,AN_AN,KAUETYMON1007,Colonial Kaqchikel,noun,"çoq,",sotz',,bat,murciélago,COT,357,"MORÇIÉLAGO, aue nocturna: Çoq,. || Y así llaman vn género de çera mui dura con q[ue] pegan. Pienso es la pez",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Mallory Matsumoto"",""dates"":[""2024-01-19""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-09"",""2024-02-18""]}]}"
KAQCOTON8,SP_DS,KAUETYMON771,Colonial Kaqchikel,noun,"q,il",tz'ïl,,"filth, dirt",mugre,COT,362,"MUGRE: Q,il; quando se entrapa en la ropa, diçen: ru tiohilam q,il pa qul, etc.",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Mallory Matsumoto"",""dates"":[""2024-01-19""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-09"",""2024-02-18""]}]}"
KAQCOTOV2,SP_SB,KAUETYMON2513,Colonial Kaqchikel,(in)transitive verb,çek,se'q,,smell,oler,COT,380,"OLER, ID EST, reçeuir el olor de algo vsando del sentido o olfato: Tin çek; vg., tan tin çek vae coq,ih, “estoi oliendo estas flores”. || Tin çekeça, o tin çekela, freq[uentati]uo. || Çekonel, o çekol richin: el q[ue] huele algo o oledor. || Çekic, o çekbal: olimiento, o acçión de oler así algo. || Tin çekçamih, verbo actiuo, significa “oler”, como el de arriba. Deste vsa el P[adr]e Maldonado en el Prólogo de sus Diálogos. || VNDE, çekçamibal rijl: ramillete oloroso, o cosa q[ue] se trae para oler. ||  Y, de coq,ih, q[ue] es “la flor”, el verbo tin coq,ihah, por “oler flores."" || VNDE, coq,ihabal 3abah: ramillete, o flores q[ue] se traen en las manos para oler. || Del verbo tin çek vsan por “besar”, como, para deçir “besa la mano al Padre”, ta çeka ru 3a P[adr]e. y así los chiquillos, quando llegan a besar la mano, no haçen más de llegar la nariz y oler. || Oler con fuerza, subiendo el resuello arriba como q[uan]do se toman poluos de tabaeo: tin hi3ah; vg., ta hi3ah a3aneh may, o a3om pan a tzam. Del mesmo vsan por “esgarrar”; vg., ta hi3ah a3aneh, ta hizqah el a tzam. || Oler haçer, esto es, haçer q[ue] la casa esté olorosa, perfumándola o poniendo cosas olorosas en ella, o en altar, etc.: tin çektaçih ru pam hay, o ru vachibal sancto, chi pom, chi okob; o tin coq,ihtaçih, si es con flores. || Oler para sacar de rastro, como haçe el perro: ti çekçot, variado con tzam; vg., ti çekçot ru tzam q,i ti be chi r’ih queh. || O, ti yipiyot ru tzam ti be, o ti çekon, tu yipiya ru tzam.",,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-06-25"",""2024-07-07""]},{""editor"":""Mallory Matsumoto"",""dates"":[""2024-01-19""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-09"",""2024-02-18""]}]}"
