Family,Subfamily,Language
Proto-Mayan,Proto-Mayan,Proto-Mayan
Pre-Proto-Wastekan,Pre-Proto-Wastekan,Pre-Proto-Wastekan
Proto-Wastekan,Proto-Wastekan,Proto-Wastekan
Proto-Wastekan,Chicomucelteco (Kabil),Chicomucelteco (Kabil)
Proto-Wastekan,Pre-Huasteco,Pre-Huasteco
Proto-Wastekan,Huasteco,Huasteco
Proto-Wastekan,Huasteco,Huasteco de Central (Tantoyuca)
Proto-Wastekan,Huasteco,Huasteco de Western (Tancanhuitz)
Proto-Central Mayan,Proto-Central Mayan,Proto-Central Mayan
Proto-Central Mayan,Yucatecan,Yucatecan
Proto-Central Mayan,Proto-Yucatecan,Proto-Yucatecan
Proto-Central Mayan,Proto-Yucatecan,Colonial Yucateco
Proto-Central Mayan,Proto-Yucatecan,Yucateco
Proto-Central Mayan,Proto-Yucatecan,Lakantun
Proto-Central Mayan,Proto-Yucatecan,Itza'
Proto-Central Mayan,Proto-Yucatecan,Mopan
Proto-Western Mayan,Proto-Western Mayan,Proto-Western Mayan
Ch'olan Tzeltalan,Ch'olan Tzeltalan,Ch'olan Tzeltalan
Pre-Ch'olan Tzeltalan,Pre-Ch'olan Tzeltalan,Pre-Ch'olan Tzeltalan
Greater Tzeltalan,Greater Tzeltalan,Greater Tzeltalan
Proto-Ch'olan Tzeltalan,Proto-Ch'olan Tzeltalan,Proto-Ch'olan Tzeltalan
Proto-Ch'olan Tzeltalan,Ch'olan,Ch'olan
Proto-Ch'olan Tzeltalan,Pre-Ch'olan,Pre-Ch'olan
Proto-Ch'olan Tzeltalan,Proto-Ch’olan,Proto-Ch’olan
Proto-Ch'olan Tzeltalan,Proto-Ch'olan,Yokot'an (Chontal of Tabasco)
Proto-Ch'olan Tzeltalan,Proto-Ch'olan,Ch'ol
Proto-Ch'olan Tzeltalan,Proto-Ch'olan,Epigraphic Mayan (Ch'olan)
Proto-Ch'olan Tzeltalan,Proto-Ch'olan,Colonial Ch'olti'
Proto-Ch'olan Tzeltalan,Proto-Ch'olan,Ch'orti'
Proto-Ch'olan Tzeltalan,Tzeltalan,Tzeltalan
Proto-Ch'olan Tzeltalan,Proto-Tzeltalan,Proto-Tzeltalan
Proto-Ch'olan Tzeltalan,Proto-Tzeltalan,Tzotzil
Proto-Ch'olan Tzeltalan,Proto-Tzeltalan,Tzotzil de Zinacantán
Proto-Ch'olan Tzeltalan,Pre-Tzeltal,Pre-Tzeltal
Proto-Ch'olan Tzeltalan,Tzeltal,Tzeltal
Proto-Ch'olan Tzeltalan,Tzeltal,Tzeltal de Bachajón
Proto-Ch'olan Tzeltalan,Tzeltal,Tzeltal de Tenejapa
Greater Q'anjob'alan,Greater Q'anjob'alan,Greater Q'anjob'alan
Proto-Q'anjob'alan,Chujean,Chujean
Proto-Q'anjob'alan,Proto-Chujean,Proto-Chujean
Proto-Q'anjob'alan,Proto-Chujean,Chuj
Proto-Q'anjob'alan,Proto-Chujean,Pre-Tojolab'al
Proto-Q'anjob'alan,Proto-Chujean,Tojolab'al
Proto-Q'anjob'alan,Proto-Q'anjob'al Proper,Proto-Q'anjob'al Proper
Proto-Q'anjob'alan,Proto-Q'anjob'al Proper,Akateko
Proto-Q'anjob'alan,Proto-Q'anjob'al Proper,Q'anjob'al
