ID,meaning,semantic tag,Etymon ID,Etymon,pS root,Part of Speech,language,script,transliteration,Sem normalization,IPA singular,gender,f markedness,pS pattern,Sem normalization pl,IPA plural,pS plural pattern,PS plural suffix,deptotic,"Tag (popularity) insert word. rate, archaic, wanderwort, borrowed. ambiguous. no derivation [for primary nouns] primary nouns [divide with commas], deptotic",Donor language (in cases of borrowing),Donor word (in the original language),data source,Notes
N1,fire,PW_FI,ETYMON1,,,noun,Akkadian,xxx,xxx,ʔišāt,iʃa:t,F,TRUE,qil,išātāt,iʃa:ta:t,qil/qilat?,-a:t,N,primary-noun,,,,
N2,fire,PW_FI,ETYMON1,,,noun,Syriac,ܐܫܬ,ʼšt,ʼeššāt,ʔeʃʃa:t,F,TRUE,qill,eštwāt,ʔeʃtwa:t,,a:t,NA,primary-noun,,,,
N3,fire,PW_FI,ETYMON1,,,noun,Ethiopic,እሳት,ʼəsātə,ʼəsāt,ʔɨsa:t,F,TRUE,qil,,,,,NA,primary-noun,,,,
N4,fire,PW_FI,ETYMON1,,,noun,Hebrew,אש,ʔš,ˀēš,ˀe:ʃ,MF,FALSE,qil,,NA,NA,NA,NA,primary-noun,,,,
N5,fire,PW_FI,,,,noun,Arabic,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,primary-noun,,,,
ETYMON1,fire,PW_FI,,[reconstructed form],,noun,Proto-Semitic,,,,ʔis,,,,,,,,,,,,,
N6,nose,BP_NO,ETYMON2,,,noun,Akkadian,,,app,app,F,FALSE,qatl,appāt,appa:t,same,-a:t,N,primary-noun,,,,
N7,nose,BP_NO,ETYMON3,,,noun,Syriac,ܢܚܝܪ,nḥyr,nḥir,nħir,M,FALSE,qati:l,nḥirē,nħire:,same,u:,NA,primary-noun,,,,
N8,nose,BP_NO,ETYMON2,,,noun,Ethiopic,አንፍ,ʼanəfə,ʼanf,ʔanf,M,FALSE,qatl,ʼaʼənāf,ʔaʔɨna:f,ʔaqta:l,NA,NA,primary-noun,,,,
N9,nose,BP_NO,ETYMON2,,,noun,Hebrew,אף,,ˀap,ʔap,M,FALSE,qatl,,ʔappi:m,same,u:,NA,primary-noun,,,,
N10,nose,BP_NO,ETYMON2,,,noun,Arabic,انف,ʼnf,ʼanf,ʔanf,M,FALSE,qatl,"ʼānuf, ʼānāf, ʼunūf","ʔa:nuf, ʔa:na:f, ʔunu:f","qa:tul, qa:ta:l, qu:tu:l",,,primary-noun,,,,
ETYMON2,nose,BP_NO,,ʔanp,,noun,Proto-Semitic,,,,ˀanp-,,,,,,,,,,,,,
ETYMON3,nose,BP_NO,,naħi:r,,noun,Proto-Semitic,,,,naħi:r,,,,,,,,,,,,,
N11,water,PW_WA,ETYMON4,,,noun,Akkadian,,,mū,mu:,M,FALSE,qul,same,same,same,same,NA,primary-noun,,,,
N12,water,PW_WA,ETYMON4,,,noun,Syriac,ܡܝܐ,,,-,M,FALSE,qall,mayyā,majja:,,u:,NA,primary-noun,,,,
N13,water,PW_WA,ETYMON4,,,noun,Ethiopic,ማይ,māyə,māy,ma:j,MF,FALSE,qa:l,māyāt,ma:ja:t,same,a:t,NA,primary-noun,,,,
N14,water,PW_WA,ETYMON4,,,noun,Hebrew,מים,,NA,NA,M,FALSE,qal,,mayim,NA,u:,NA,primary-noun,,,,
N15,water,PW_WA,ETYMON4,,,noun,Arabic,ماء,mʼ,māʼ,ma:ʔ,M,FALSE,qa:l,"miyāh, ʼamwāh","mija:h, ʔamwa:h","qita:l, ʔaqta:l",,,primary-noun,,,,
ETYMON4,,PW_WA,,"ma:j-, ma:w-",,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
N16,mouth,BP_MO,ETYMON5,,,noun,Akkadian,,,pū,pu:,M,FALSE,qul,pû,pu:,same,u:,N,primary-noun,,,,
N17,mouth,BP_MO,ETYMON5,,,noun,Syriac,ܦܘܡ,pwm,pum,pum,M,FALSE,qul,pumē,pume:,same,u:,NA,primary-noun,,,,
N18,mouth,BP_MO,ETYMON5,,,noun,Ethiopic,አፍ,ʼafə,ʼaf,ʔaf,MF,FALSE,qal,"ʼafaw, ʼafawāt","ʔafaw, ʔafawa:t",qatal,a:t,NA,primary-noun,,,,
N19,mouth,BP_MO,ETYMON5,,,noun,Hebrew,פה,,pê,pe:,M,FALSE,qil,,"piyo:t, pe:yo:t",same,a:t,NA,primary-noun,,,,
N20,mouth,BP_MO,ETYMON5,,,noun,Arabic,,,fū,fu:,M,FALSE,qul,ʼafwāh,ʔafwa:h,ʔaqtal,,,primary-noun,,,,
ETYMON5,,BP_MO,,pij,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
N21,tongue,BP_TG,ETYMON6,,,noun,Akkadian,,,lišān,liʃa:n,F,FALSE,qita:l,lišānū,liʃa:nu:,qita:l,u:,Y,primary-noun,,,,
N22,tongue,BP_TG,ETYMON6,,,noun,Syriac,ܠܫܢ,lšn,leššān,leʃʃa:n,M,FALSE,qitta:l,leššānē,leʃʃa:ne:,same,u:,NA,primary-noun,,,,
N23,tongue,BP_TG,ETYMON6,,,noun,Ethiopic,ልሳን,ləsānə,ləssān,lɨssa:n,MF,FALSE,qitta:l,,,,,NA,primary-noun,,,,
N24,tongue,BP_TG,ETYMON6,,,noun,Hebrew,לשון,,lāšōn,la:ʃo:n,MF,FALSE,qata:l,,ləʃo:no:t,same,a:t,NA,primary-noun,,,,
N25,tongue,BP_TG,ETYMON6,,,noun,Arabic,لسان,lsʼn,lisān,lisa:n,MF,FALSE,qita:l,"ʼalsina, ʼalsun","ʔalsina, ʔalsun","ʔaqtil, ʔaqtul",,,primary-noun,,,,
ETYMON6,,BP_TG,,lisa:n,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
N26,blood,BP_BL,ETYMON7,,,noun,Akkadian,,,dām,da:m,M,FALSE,qa:l,dāmū,da:mu:,qal,u:,Y,primary-noun,,,,
N27,blood,BP_BL,ETYMON7,,,noun,Syriac,ܕܡ,dm,dem,dem,M,FALSE,qal,dmē,dme:,same,u:,NA,primary-noun,,,,
N28,blood,BP_BL,ETYMON7,,,noun,Ethiopic,ደም,damə,dam,dam,MF,FALSE,qa:l,,,,,NA,primary-noun,,,,
N29,blood,BP_BL,ETYMON7,,,noun,Hebrew,דם,,dām,da:m,M,FALSE,qal,,da:mi:m,same,u:,NA,primary-noun,,,,
